Rentrée / Session;Série du bac;Genre;Nombre total de bacheliers;Néo-bacheliers poursuivant à l'université (hors IUT) dans une académie différente de celle d'obtention de leur baccalauréat;Néo-bacheliers poursuivant à l'université (hors IUT) dans la même académie que celle d'obtention de leur baccalauréat;Néo-bacheliers poursuivant en IUT dans une académie différente de celle d'obtention de leur baccalauréat;Néo-bacheliers poursuivant en IUT dans la même académie que celle d'obtention de leur baccalauréat;Néo-bacheliers poursuivant dans une CPGE du secteur privé dans une académie différente de celle d'obtention de leur baccalauréat;Néo-bacheliers poursuivant dans une CPGE du secteur privé dans la même académie que celle d'obtention de leur baccalauréat;Néo-bacheliers poursuivant dans une CPGE du secteur public dans une académie différente de celle d'obtention de leur baccalauréat;Néo-bacheliers poursuivant dans une CPGE du secteur public dans la même académie que celle d'obtention de leur baccalauréat;Néo-bacheliers poursuivant en STS (secteur non renseigné) dans une académie différente de celle d'obtention de leur baccalauréat;Néo-bacheliers poursuivant en STS (secteur non renseigné) dans la même académie que celle d'obtention de leur baccalauréat;Néo-bacheliers poursuivant en STS dans le secteur privé dans une académie différente de celle d'obtention de leur baccalauréat;Néo-bacheliers poursuivant en STS dans le secteur privé dans la même académie que celle d'obtention de leur baccalauréat;Néo-bacheliers poursuivant en STS dans le secteur public dans une académie différente de celle d'obtention de leur baccalauréat;Néo-bacheliers poursuivant en STS dans le secteur public dans la même académie que celle d'obtention de leur baccalauréat;Néo-bacheliers poursuivant dans une autre formation (secteur non renseigné) dans une académie différente de celle d'obtention de leur baccalauréat;Néo-bacheliers poursuivant dans une autre formation (secteur non renseigné) dans la même académie que celle d'obtention de leur baccalauréat;Néo-bacheliers poursuivant dans une autre formation du secteur privé dans une académie différente de celle d'obtention de leur baccalauréat;Néo-bacheliers poursuivant dans une autre formation du secteur privé dans la même académie que celle d'obtention de leur baccalauréat;Néo-bacheliers poursuivant dans une autre formation du secteur public dans une académie différente de celle d'obtention de leur baccalauréat;Néo-bacheliers poursuivant dans une autre formation du secteur public dans la même académie que celle d'obtention de leur baccalauréat;Académie du Bac;Code académie du Bac;Code Paysage structure de l'académie
2010;Bac général;Masculin;5298.0;376.13;2004.04;219.0;526.0;93.0;67.0;180.0;669.0;16.28;41.26;29.31;206.04;59.04;199.0;364.56;89.67;9.39;12.0;42.35;38.0;Aix-Marseille;A02;Nsga9
2010;Bac professionnel;Masculin;2723.0;27.0;237.0;8.0;9.0;0.0;0.0;0.0;0.0;42.22;152.44;15.0;111.0;43.09;279.0;9.62;0.33;0.0;0.0;0.0;0.0;Aix-Marseille;A02;Nsga9
2010;Bac professionnel;Masculin;1927.0;12.0;75.0;6.0;10.0;0.0;0.0;0.0;0.0;37.82;179.13;7.0;45.0;31.03;220.03;6.02;3.05;0.0;0.0;1.0;0.0;Amiens;A20;qRVdr
2010;Bac professionnel;Féminin;2564.0;28.0;127.0;1.0;10.0;0.0;0.0;0.0;0.0;15.06;68.09;15.05;155.0;55.0;188.0;10.7;5.68;0.0;4.0;0.0;0.0;Bordeaux;A04;DssZ6
2010;Bac technologique;Masculin;2860.0;54.05;332.0;105.0;230.0;3.0;3.0;22.0;27.0;20.84;77.73;16.05;215.0;146.0;1137.0;52.61;26.35;2.0;2.0;3.0;5.0;Bordeaux;A04;DssZ6
2010;Bac professionnel;Masculin;1448.0;2.0;43.0;3.0;8.0;0.0;0.0;0.0;0.0;52.02;93.09;5.0;68.0;36.04;208.0;4.11;0.04;0.0;0.0;0.0;0.0;Clermont-Ferrand;A06;lE9Jm
2010;Bac général;Féminin;9906.0;3223.31;2350.06;199.06;452.0;67.0;31.0;453.06;426.0;39.85;35.31;89.63;85.0;267.06;292.0;574.34;143.65;66.01;8.0;211.65;40.0;Créteil;A24;Um9ge
2010;Bac général;Féminin;3682.0;589.12;1339.02;154.02;187.0;17.0;5.0;141.02;221.0;9.02;21.0;44.23;77.0;90.02;128.0;186.36;74.86;20.74;2.0;20.09;15.0;Dijon;A07;L357G
2010;Bac général;Masculin;2656.0;325.09;836.0;178.0;274.0;18.0;9.0;114.0;330.0;11.95;15.0;23.19;33.0;50.02;98.0;205.31;44.86;12.21;4.0;34.25;19.0;Dijon;A07;L357G
2010;Bac professionnel;Féminin;2330.0;29.0;93.0;1.0;10.0;0.0;0.0;0.0;0.0;27.85;119.1;18.05;197.0;26.0;186.0;12.29;7.25;0.0;0.0;0.0;0.0;Grenoble;A08;Ma7Zh
2010;Bac général;Masculin;1523.0;177.06;617.0;56.0;84.0;5.0;0.0;38.0;121.0;3.95;6.0;8.12;10.0;10.02;126.0;130.24;9.42;1.14;0.0;17.83;10.0;La Réunion;A28;nILBE
2010;Bac professionnel;Masculin;1016.0;4.0;206.0;0.0;0.0;0.0;0.0;0.0;0.0;7.17;24.0;4.0;2.0;30.03;118.0;3.49;0.02;0.0;0.0;0.0;0.0;La Réunion;A28;nILBE
2010;Bac technologique;Masculin;1093.0;22.02;293.0;29.0;22.0;1.0;0.0;5.0;5.0;3.21;16.02;1.02;16.0;46.0;419.0;14.82;1.02;1.0;0.0;0.0;10.0;La Réunion;A28;nILBE
2010;Bac général;Masculin;5906.0;188.2;2252.0;250.0;727.0;35.0;268.0;125.0;522.0;15.14;42.15;26.1;335.3;73.05;181.0;348.46;212.13;2.45;94.0;57.67;7.0;Lyon;A10;KwdKs
2010;Bac technologique;Masculin;596.0;105.01;0.0;27.0;0.0;0.0;0.0;0.0;10.0;2.5;10.0;3.01;77.0;45.0;183.0;7.84;6.04;0.0;1.0;0.0;5.0;Martinique;A31;K54Y8
2010;Bac technologique;Féminin;2721.0;31.04;524.0;21.0;173.0;0.0;0.0;7.0;14.0;6.11;53.26;12.15;186.0;84.04;713.0;51.9;122.61;0.07;5.0;1.0;14.0;Nancy-Metz;A12;lPQ79
2010;Bac professionnel;Masculin;4075.0;22.0;101.0;7.0;7.0;0.0;0.0;0.0;0.0;69.38;458.98;25.0;287.0;53.11;298.0;12.29;2.18;0.0;2.0;0.0;0.0;Nantes;A17;aN9g0
2010;Bac général;Masculin;3960.0;440.11;1256.0;135.0;410.0;38.0;71.0;128.0;447.0;10.44;14.17;19.23;62.0;36.03;135.0;343.0;14.66;6.26;0.0;28.54;14.0;Nice;A23;j565G
2010;Bac professionnel;Masculin;1563.0;10.0;96.0;1.0;27.0;0.0;0.0;0.0;0.0;34.34;48.23;6.0;30.0;28.06;171.0;6.25;0.24;0.0;0.0;0.0;0.0;Nice;A23;j565G
2010;Bac général;Masculin;5871.0;359.2;2222.0;132.0;914.0;47.0;32.0;162.0;524.0;21.91;34.35;28.39;113.0;52.05;233.0;406.89;250.81;28.44;0.0;45.66;19.0;Normandie;A70;jyY65
2010;Bac général;Masculin;2625.0;372.09;870.0;98.0;374.0;32.0;0.0;141.0;163.0;13.85;33.12;34.19;32.0;26.02;81.0;201.57;39.17;9.21;0.0;18.26;9.0;Poitiers;A13;pIZ6B
2010;Bac général;Masculin;2246.0;250.08;648.0;101.0;322.0;19.0;0.0;109.0;225.0;10.46;12.1;16.16;31.0;29.02;106.0;180.55;55.54;14.18;0.0;24.09;36.0;Reims;A19;qeGjv
